Mercadoria,Vencimento,Preco_Anterior,Preco_Atual,Variacao,Valor_ajuste_contrato,Data_new
,H22 ,"0,98","1,00","0,02","0,01",2021-04-30
,J22 ,"1,00","1,01","0,01","0,00",2021-04-30
,N22 ,"1,02","1,04","0,02","0,01",2021-04-30
,V22 ,"1,05","1,07","0,02","0,01",2021-04-30
,F23 ,"1,10","1,12","0,02","0,01",2021-04-30
,J23 ,"1,12","1,14","0,02","0,01",2021-04-30
,N23 ,"1,14","1,16","0,02","0,01",2021-04-30
,V23 ,"1,18","1,20","0,02","0,01",2021-04-30
,F24 ,"1,23","1,24","0,01","0,00",2021-04-30
,J24 ,"1,27","1,28","0,01","0,00",2021-04-30
,N24 ,"1,32","1,34","0,02","0,01",2021-04-30
,V24 ,"1,40","1,42","0,02","0,01",2021-04-30
,F25 ,"1,44","1,47","0,03","0,01",2021-04-30
,J25 ,"1,48","1,50","0,02","0,01",2021-04-30
,N25 ,"1,54","1,56","0,02","0,01",2021-04-30
,V25 ,"1,62","1,63","0,01","0,00",2021-04-30
,F26 ,"1,62","1,68","0,06","0,03",2021-04-30
,J26 ,"1,64","1,70","0,06","0,03",2021-04-30
,N26 ,"1,72","1,78","0,06","0,03",2021-04-30
,F27 ,"1,81","1,87","0,06","0,03",2021-04-30
,F28 ,"1,93","1,99","0,06","0,03",2021-04-30
,F29 ,"2,08","2,10","0,02","0,01",2021-04-30
,F30 ,"2,26","2,27","0,01","0,00",2021-04-30
,F31 ,"2,40","2,39","-0,01","0,00",2021-04-30
,F33 ,"2,57","2,56","-0,01","0,00",2021-04-30
,F35 ,"2,70","2,69","-0,01","0,00",2021-04-30
,F36 ,"2,70","2,69","-0,01","0,00",2021-04-30
GBP   - Libra Esterlina                                   ,K21 ,"7.479,9240","7.464,3970","-15,5270","543,44",2021-04-30
,M21 ,"7.497,1090","7.481,0840","-16,0250","560,87",2021-04-30
,N21 ,"7.516,5750","7.500,0450","-16,5300","578,55",2021-04-30
,Q21 ,"7.538,1170","7.521,5980","-16,5190","578,16",2021-04-30
,U21 ,"7.563,7350","7.546,7160","-17,0190","595,66",2021-04-30
,V21 ,"0,0000","7.560,0000","0,0000","0,00",2021-04-30
GBR   - LIBRA ESTERLINA (TIPO B)                          ,K21 ,"1.394,255","1.394,928","0,673","36,03",2021-04-30
,M21 ,"1.394,186","1.395,092","0,906","48,51",2021-04-30
,N21 ,"1.394,315","1.395,254","0,939","50,27",2021-04-30
,Q21 ,"1.394,474","1.395,352","0,878","47,01",2021-04-30
,U21 ,"1.394,572","1.395,465","0,893","47,81",2021-04-30
,V21 ,"0,000","1.395,600","0,000","0,00",2021-04-30
HSI   - Contrato Futuro de Índice BVMF Hang Seng          ,J21 ,29.026,29.295,269,"174,85",2021-04-30
,K21 ,28.845,29.107,262,"170,30",2021-04-30
,M21 ,28.664,28.955,291,"189,15",2021-04-30
HYPEO - Contrato Futuro de HYPE3                          ,K21 ,"34,75","35,15","0,40","0,40",2021-04-30
,M21 ,"34,83","35,24","0,41","0,41",2021-04-30
ICF   - Café Arábica 4/5                                  ,K21 ,"166,15","162,30","-3,85","2.061,52",2021-04-30
,N21 ,"170,40","166,65","-3,75","2.007,97",2021-04-30
,U21 ,"171,30","169,15","-2,15","1.151,23",2021-04-30
,Z21 ,"175,65","171,80","-3,85","2.061,52",2021-04-30
,H22 ,"176,55","172,80","-3,75","2.007,97",2021-04-30
,K22 ,"175,60","171,90","-3,70","1.981,20",2021-04-30
,U22 ,"172,40","168,85","-3,55","1.900,88",2021-04-30
,Z22 ,"172,45","169,00","-3,45","1.847,33",2021-04-30
IMV   - Contrato Futuro de Indice Merval                  ,J21 ,"50.147,00","50.129,00","-18,00","10,34",2021-04-30
,K21 ,"53.105,00","53.069,00","-36,00","20,69",2021-04-30
,M21 ,"56.063,00","56.181,00","118,00","67,83",2021-04-30
IND   - Ibovespa                                          ,M21 ,121.416,120.307,-1.109,"1.109,00",2021-04-30
,Q21 ,122.105,120.984,-1.121,"1.121,00",2021-04-30
,V21 ,122.808,121.680,-1.128,"1.128,00",2021-04-30
,Z21 ,123.737,122.592,-1.145,"1.145,00",2021-04-30
,G22 ,124.824,123.659,-1.165,"1.165,00",2021-04-30
,J22 ,125.879,124.695,-1.184,"1.184,00",2021-04-30
,M22 ,127.153,125.946,-1.207,"1.207,00",2021-04-30
,Q22 ,128.555,127.333,-1.222,"1.222,00",2021-04-30
,V22 ,129.847,128.614,-1.233,"1.233,00",2021-04-30
